Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,13,177,9,Some Random Commen with Id 0
1,0,13,60,4,Some Random Commen with Id 1
2,0,13,168,9,Some Random Commen with Id 2
3,0,13,174,6,Some Random Commen with Id 3
4,0,13,41,2,Some Random Commen with Id 4
5,0,13,106,8,Some Random Commen with Id 5
6,2,22,40,7,Some Random Commen with Id 6
7,2,22,104,1,Some Random Commen with Id 7
8,2,22,27,2,Some Random Commen with Id 8
9,2,22,72,8,Some Random Commen with Id 9
10,2,22,18,5,Some Random Commen with Id 10
11,2,22,97,9,Some Random Commen with Id 11
12,3,24,14,5,Some Random Commen with Id 12
13,3,24,118,2,Some Random Commen with Id 13
14,3,24,193,7,Some Random Commen with Id 14
15,3,24,176,0,Some Random Commen with Id 15
16,3,24,86,6,Some Random Commen with Id 16
17,3,24,60,2,Some Random Commen with Id 17
18,4,23,188,1,Some Random Commen with Id 18
19,4,23,17,3,Some Random Commen with Id 19
20,4,23,37,8,Some Random Commen with Id 20
21,4,23,19,1,Some Random Commen with Id 21
22,4,23,48,7,Some Random Commen with Id 22
23,5,38,198,4,Some Random Commen with Id 23
24,5,38,72,1,Some Random Commen with Id 24
25,5,38,16,9,Some Random Commen with Id 25
26,7,36,66,9,Some Random Commen with Id 26
27,7,36,3,7,Some Random Commen with Id 27
28,7,36,92,0,Some Random Commen with Id 28
29,7,36,112,5,Some Random Commen with Id 29
30,8,17,123,8,Some Random Commen with Id 30
31,8,17,25,7,Some Random Commen with Id 31
32,8,17,99,1,Some Random Commen with Id 32
33,8,17,188,9,Some Random Commen with Id 33
34,8,17,19,0,Some Random Commen with Id 34
35,8,17,132,5,Some Random Commen with Id 35
36,8,17,155,4,Some Random Commen with Id 36
37,8,17,142,0,Some Random Commen with Id 37
38,8,17,199,9,Some Random Commen with Id 38
39,9,24,100,2,Some Random Commen with Id 39
40,10,12,23,5,Some Random Commen with Id 40
41,10,12,59,0,Some Random Commen with Id 41
42,10,12,112,4,Some Random Commen with Id 42
43,10,12,69,4,Some Random Commen with Id 43
44,11,27,60,9,Some Random Commen with Id 44
45,11,27,47,1,Some Random Commen with Id 45
46,11,27,104,3,Some Random Commen with Id 46
47,11,27,15,3,Some Random Commen with Id 47
48,11,27,45,7,Some Random Commen with Id 48
49,11,27,31,0,Some Random Commen with Id 49
50,11,27,137,0,Some Random Commen with Id 50
51,11,27,96,1,Some Random Commen with Id 51
52,11,27,41,7,Some Random Commen with Id 52
53,12,20,131,9,Some Random Commen with Id 53
54,12,20,22,6,Some Random Commen with Id 54
55,13,22,16,5,Some Random Commen with Id 55
56,13,22,38,8,Some Random Commen with Id 56
57,13,22,24,0,Some Random Commen with Id 57
58,13,22,164,2,Some Random Commen with Id 58
59,13,22,116,3,Some Random Commen with Id 59
60,13,22,138,6,Some Random Commen with Id 60
61,13,22,114,2,Some Random Commen with Id 61
62,14,36,44,5,Some Random Commen with Id 62
63,14,36,66,9,Some Random Commen with Id 63
64,14,36,121,8,Some Random Commen with Id 64
65,15,2,151,1,Some Random Commen with Id 65
66,15,2,82,4,Some Random Commen with Id 66
67,15,2,84,8,Some Random Commen with Id 67
68,15,2,123,2,Some Random Commen with Id 68
69,15,2,36,9,Some Random Commen with Id 69
70,15,2,57,4,Some Random Commen with Id 70
71,15,2,77,2,Some Random Commen with Id 71
72,15,2,151,0,Some Random Commen with Id 72
73,16,14,159,6,Some Random Commen with Id 73
74,17,14,127,6,Some Random Commen with Id 74
75,17,14,97,7,Some Random Commen with Id 75
76,17,14,103,5,Some Random Commen with Id 76
77,19,15,82,6,Some Random Commen with Id 77
78,19,15,22,5,Some Random Commen with Id 78
79,19,15,95,6,Some Random Commen with Id 79
80,20,29,129,3,Some Random Commen with Id 80
81,20,29,145,6,Some Random Commen with Id 81
82,20,29,159,7,Some Random Commen with Id 82
83,20,29,96,6,Some Random Commen with Id 83
84,21,10,163,5,Some Random Commen with Id 84
85,21,10,40,8,Some Random Commen with Id 85
86,21,10,1,9,Some Random Commen with Id 86
87,21,10,47,5,Some Random Commen with Id 87
88,21,10,68,5,Some Random Commen with Id 88
89,21,10,182,7,Some Random Commen with Id 89
90,21,10,100,5,Some Random Commen with Id 90
91,21,10,191,1,Some Random Commen with Id 91
92,22,18,49,6,Some Random Commen with Id 92
93,22,18,40,6,Some Random Commen with Id 93
94,22,18,90,1,Some Random Commen with Id 94
95,22,18,91,0,Some Random Commen with Id 95
96,22,18,186,1,Some Random Commen with Id 96
97,22,18,90,5,Some Random Commen with Id 97
98,22,18,171,7,Some Random Commen with Id 98
99,22,18,81,3,Some Random Commen with Id 99
100,23,36,190,7,Some Random Commen with Id 100
101,23,36,172,6,Some Random Commen with Id 101
102,23,36,108,9,Some Random Commen with Id 102
103,23,36,35,1,Some Random Commen with Id 103
104,23,36,78,6,Some Random Commen with Id 104
105,23,36,148,7,Some Random Commen with Id 105
106,24,11,127,2,Some Random Commen with Id 106
107,24,11,39,8,Some Random Commen with Id 107
108,24,11,68,0,Some Random Commen with Id 108
109,24,11,171,0,Some Random Commen with Id 109
110,24,11,50,4,Some Random Commen with Id 110
111,24,11,115,0,Some Random Commen with Id 111
112,24,11,101,4,Some Random Commen with Id 112
113,26,37,193,7,Some Random Commen with Id 113
114,26,37,115,2,Some Random Commen with Id 114
115,26,37,124,5,Some Random Commen with Id 115
116,26,37,167,2,Some Random Commen with Id 116
117,27,23,172,7,Some Random Commen with Id 117
118,27,23,124,8,Some Random Commen with Id 118
119,27,23,29,2,Some Random Commen with Id 119
120,28,32,106,5,Some Random Commen with Id 120
121,28,32,180,0,Some Random Commen with Id 121
122,28,32,186,1,Some Random Commen with Id 122
123,28,32,182,4,Some Random Commen with Id 123
124,28,32,108,6,Some Random Commen with Id 124
125,29,4,89,4,Some Random Commen with Id 125
126,29,4,144,4,Some Random Commen with Id 126
127,29,4,144,4,Some Random Commen with Id 127
128,29,4,151,8,Some Random Commen with Id 128
129,29,4,5,9,Some Random Commen with Id 129
130,30,28,148,7,Some Random Commen with Id 130
131,31,18,127,3,Some Random Commen with Id 131
